Steps    Con      Chain    Chi      Excluded Rama     Contact  Fragment Beta     Pap      Helical  DH       Total   
0        37.47    16.71    5.94     0.03     -51.08   -25.89   -67.95   -0.02    -0.00    -0.00    1.72     -83.06  
1        15.27    17.60    7.49     3.19     -49.59   -24.84   -70.97   -14.64   -0.97    -0.00    1.82     -115.65 
2        22.60    19.81    4.63     0.17     -47.16   -18.11   -69.92   -1.09    0.00     -0.52    0.86     -88.72  
3        36.00    23.75    4.17     1.69     -49.41   -19.04   -70.09   -0.00    0.00     -0.01    0.88     -72.06  
4        27.10    17.54    5.46     1.34     -48.31   -23.74   -68.30   -4.97    -0.00    -0.00    1.41     -92.47  
5        31.96    17.46    5.29     0.04     -49.53   -18.58   -65.74   -11.40   -0.00    -1.08    1.36     -90.23  
6        27.19    14.10    5.15     0.04     -51.02   -22.77   -67.86   -0.33    -0.00    -0.35    1.47     -94.38  
7        25.63    19.45    4.34     1.12     -55.95   -21.10   -65.65   -0.03    0.00     -0.32    1.73     -90.77  
8        25.72    23.22    5.77     0.16     -56.66   -21.79   -70.33   -0.00    -0.00    -0.00    1.01     -92.90  
9        22.07    20.99    3.92     0.86     -52.87   -19.11   -69.09   -8.34    0.00     -0.95    0.81     -101.71 
10       27.86    22.93    6.87     0.55     -49.04   -24.97   -66.64   -0.65    -3.33    -0.00    2.52     -83.90  
11       26.46    19.03    5.79     1.68     -54.58   -18.50   -67.77   -9.22    0.00     -1.05    0.70     -97.46  
12       24.28    23.97    4.84     0.57     -53.98   -21.53   -71.63   -0.24    -0.00    -0.00    1.37     -92.35  
13       25.73    23.01    10.18    0.43     -51.70   -20.95   -69.55   -0.00    0.00     -0.00    0.92     -81.93  
14       26.30    18.08    7.24     2.47     -43.07   -23.82   -70.18   -8.92    -0.03    -0.53    2.17     -90.29  
15       23.79    15.65    5.43     0.14     -53.66   -20.06   -74.40   -0.00    0.00     -0.00    1.03     -102.08 
16       23.44    18.40    5.73     2.47     -55.62   -19.88   -69.64   -6.46    0.00     -0.50    0.93     -101.13 
17       23.33    20.56    3.35     0.07     -56.66   -19.54   -69.00   -0.00    0.00     -0.00    0.84     -97.04  
18       28.02    25.90    6.05     0.00     -48.71   -23.33   -66.17   -9.87    0.00     -1.11    1.58     -87.63  
19       25.09    18.45    4.88     0.76     -56.52   -17.76   -70.03   -0.00    0.00     -0.00    0.96     -94.16  
