Steps    Con      Chain    Chi      Excluded Rama     Contact  Fragment Beta     Pap      Helical  DH       Total   
0        34.20    27.27    10.09    0.26     -55.50   -19.72   -59.93   -10.29   0.00     -1.05    0.35     -74.32  
1        28.78    19.22    6.46     0.76     -55.16   -21.74   -61.94   -0.00    -0.00    -0.00    0.43     -83.19  
2        29.29    21.12    5.74     4.13     -56.46   -26.09   -62.64   -8.36    -4.68    -0.00    0.50     -97.47  
3        20.70    17.33    5.94     1.12     -54.59   -20.29   -56.95   -0.04    0.00     -0.04    0.41     -86.40  
4        26.51    20.25    6.09     0.33     -57.30   -19.11   -56.55   -0.00    0.00     -0.00    0.52     -79.26  
5        28.74    27.22    4.53     0.55     -51.59   -21.96   -63.92   -0.00    0.00     -0.00    0.43     -75.99  
6        28.08    16.92    4.37     0.60     -56.57   -18.58   -56.68   -0.00    0.00     -0.00    0.41     -81.45  
7        18.71    18.26    4.24     1.60     -54.61   -19.54   -60.91   -8.86    0.00     -1.10    0.47     -101.74 
8        25.79    23.16    3.41     0.10     -56.33   -19.81   -60.26   -0.00    0.00     -0.00    0.39     -83.54  
9        25.88    23.68    6.07     0.64     -61.48   -17.46   -66.17   -0.00    0.00     -0.00    0.47     -88.37  
10       26.28    13.40    3.76     0.34     -65.16   -20.56   -65.26   -0.34    0.00     -0.95    0.44     -108.07 
11       18.36    21.16    5.39     0.92     -59.59   -18.66   -54.96   -0.00    0.00     -0.00    0.40     -86.99  
12       30.37    21.10    4.58     0.45     -57.60   -18.00   -52.04   -0.00    0.00     -0.00    0.52     -70.62  
13       32.64    20.97    6.68     1.76     -55.10   -29.50   -56.13   -23.44   -8.39    -0.62    0.42     -110.71 
14       26.83    11.75    4.49     0.96     -56.01   -18.84   -58.95   -0.00    0.00     -0.00    0.39     -89.38  
15       25.24    14.34    3.77     0.10     -53.47   -19.27   -60.15   -0.11    0.00     -0.56    0.38     -89.71  
16       25.67    14.62    7.47     1.15     -56.11   -19.13   -54.40   -0.00    0.00     -0.00    0.40     -80.33  
17       23.64    17.95    5.79     0.56     -57.78   -20.22   -60.00   -0.25    0.00     -0.26    0.45     -90.13  
18       30.96    14.76    5.94     0.04     -50.49   -19.80   -56.82   -7.61    0.00     -1.04    0.43     -83.64  
19       26.68    18.33    6.83     1.80     -58.27   -18.33   -54.10   -0.00    0.00     -0.00    0.44     -76.62  
