0        25.56    16.18    4.52     0.08     -36.06   -18.27   -52.62   -0.01    0.00     -0.01    -0.51    -61.14  
1        27.12    12.61    2.63     0.00     -40.93   -17.94   -48.28   -0.00    0.00     -0.00    -0.53    -65.31  
2        23.21    20.44    5.07     0.09     -34.73   -19.75   -54.36   -0.24    0.00     -0.30    -0.58    -61.14  
3        21.74    19.38    4.57     0.52     -39.99   -16.05   -49.58   -0.00    0.00     -0.00    -0.55    -59.96  
4        31.39    17.13    3.43     0.00     -34.95   -19.72   -51.31   -0.07    -0.00    -0.65    -0.69    -55.44  
5        27.45    16.41    3.78     0.42     -39.32   -20.41   -48.06   -0.00    -0.00    -0.00    -0.79    -60.51  
6        21.54    21.29    4.84     0.45     -35.74   -16.96   -54.44   -0.31    0.00     -0.71    -0.78    -60.81  
7        29.19    12.63    1.49     0.37     -36.10   -18.68   -51.84   -0.39    0.00     -0.82    -0.54    -64.69  
8        31.51    17.05    4.46     0.21     -43.46   -18.94   -49.36   -0.00    0.00     -0.00    -0.78    -59.30  
9        23.86    17.63    2.77     0.00     -37.16   -16.98   -51.82   -0.16    0.00     -0.14    -0.48    -62.49  
10       21.60    18.06    3.92     0.08     -40.99   -16.28   -53.77   -0.27    0.00     -0.68    -0.82    -69.15  
11       22.10    18.90    4.17     0.01     -41.05   -18.10   -48.50   -0.00    0.00     -0.00    -0.75    -63.24  
12       26.46    11.22    6.99     0.03     -34.40   -16.68   -49.38   -0.00    0.00     -0.00    -0.72    -56.47  
13       30.17    27.89    4.84     0.84     -32.53   -17.72   -49.26   -0.00    -0.00    -0.00    -0.73    -36.51  
14       25.42    11.51    4.11     0.67     -35.04   -15.50   -52.60   -0.02    0.00     -0.04    -0.69    -62.19  
15       22.87    19.86    7.05     0.00     -39.87   -17.69   -55.63   -0.52    0.00     -0.83    -0.65    -65.42  
16       31.87    14.48    5.63     0.23     -38.42   -19.01   -51.68   -0.02    0.00     -0.02    -0.62    -57.56  
17       33.71    16.71    5.11     0.01     -37.46   -16.61   -51.06   -0.00    0.00     -0.10    -0.74    -50.44  
18       28.84    12.62    5.12     1.17     -30.61   -17.82   -49.14   -0.00    0.00     -0.00    -0.69    -50.51  
19       28.50    18.31    2.80     0.00     -40.37   -18.33   -50.15   -0.34    0.00     -0.51    -0.70    -60.78  
